HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458718.98954,2019-08-23.4864938,bD,1.45,16.939,16.424,0.136,0.979,0.122,g
2458718.99082,2019-08-23.4877760,bD,1.52,16.813,16.359,0.144,1.038,0.137,g
2458718.99210,2019-08-23.4890548,bD,1.50,16.976,16.128,0.100,1.284,0.118,g
2458721.77218,2019-08-26.2691202,bt,1.53,16.737,16.737,99.990,0.612,0.147,g
2458721.77339,2019-08-26.2703408,bt,1.50,16.752,16.711,0.211,0.751,0.145,g
2458721.77461,2019-08-26.2715592,bt,1.50,16.778,16.649,0.194,0.795,0.141,g
2458722.77562,2019-08-27.2725564,bt,1.48,16.764,16.274,0.139,1.124,0.143,g
2458722.77682,2019-08-27.2737674,bt,1.48,16.798,16.798,99.990,0.647,0.139,g
2458722.77805,2019-08-27.2749947,bt,1.44,16.868,16.698,0.187,0.759,0.130,g
2458722.78273,2019-08-27.2796723,bD,2.04,17.100,16.773,0.162,0.710,0.105,g
2458722.78402,2019-08-27.2809620,bD,2.05,16.912,16.487,0.148,0.923,0.125,g
2458722.78530,2019-08-27.2822359,bD,2.12,16.982,16.369,0.124,1.030,0.117,g
2458723.86184,2019-08-28.3587789,bD,1.44,17.063,16.703,0.157,0.756,0.109,g
2458723.86314,2019-08-28.3600689,bD,1.49,17.020,16.712,0.165,0.750,0.113,g
2458723.86441,2019-08-28.3613515,bD,1.47,17.004,16.722,0.169,0.744,0.115,g
2458724.90681,2019-08-29.4037491,bD,1.49,17.068,16.443,0.123,0.961,0.108,g
2458724.90810,2019-08-29.4050383,bD,1.51,17.089,16.193,0.096,1.210,0.106,g
2458724.90939,2019-08-29.4063221,bD,1.53,17.016,16.370,0.121,1.029,0.113,g
2458725.76882,2019-08-30.2657528,bt,1.41,16.606,16.201,0.151,1.201,0.166,g
2458725.77003,2019-08-30.2669722,bt,1.43,16.538,16.039,0.138,1.395,0.176,g
2458725.77125,2019-08-30.2681863,bt,1.43,16.570,16.329,0.175,1.068,0.171,g
2458728.69078,2019-09-02.1877252,bt,1.53,16.482,16.163,0.163,1.243,0.186,g
2458728.69200,2019-09-02.1889390,bt,1.50,16.454,16.436,0.216,0.967,0.190,g
2458728.69324,2019-09-02.1901768,bt,1.44,16.482,16.482,99.990,0.784,0.186,g
2458728.80310,2019-09-02.3000347,bt,1.50,14.883,14.883,99.990,2.299,0.809,g
2458728.80431,2019-09-02.3012509,bt,1.48,15.649,15.649,99.990,1.549,0.399,g
2458728.80553,2019-09-02.3024689,bt,1.49,15.417,15.417,99.990,0.824,0.494,g
2458729.83199,2019-09-03.3289275,bD,1.47,16.991,16.329,0.119,1.068,0.116,g
2458730.94825,2019-09-04.4451913,bD,1.47,17.059,16.156,0.095,1.252,0.109,g
2458730.94953,2019-09-04.4464769,bD,1.47,16.961,16.015,0.092,1.425,0.119,g
2458730.95081,2019-09-04.4477564,bD,1.47,17.054,16.147,0.095,1.262,0.110,g
2458732.76586,2019-09-06.2628236,bD,1.98,16.872,15.719,0.076,1.873,0.130,g
2458732.76715,2019-09-06.2641137,bD,1.99,16.788,15.748,0.084,1.823,0.140,g
2458732.76844,2019-09-06.2653967,bD,2.01,16.810,15.730,0.081,1.852,0.137,g
2458733.74973,2019-09-07.2466879,bD,2.28,16.769,16.067,0.115,1.359,0.143,g
2458733.75101,2019-09-07.2479716,bD,2.31,16.667,15.937,0.112,1.532,0.157,g
2458733.75230,2019-09-07.2492594,bD,2.25,16.788,16.197,0.127,1.206,0.140,g
2458736.91244,2019-09-10.4094238,bD,1.53,16.454,16.331,0.196,1.066,0.190,g
2458736.91372,2019-09-10.4107103,bD,1.46,16.666,16.465,0.182,0.942,0.157,g
2458736.91502,2019-09-10.4120012,bD,1.47,16.496,16.496,99.990,0.583,0.183,g
2458737.93957,2019-09-11.4365652,bD,1.44,16.543,16.263,0.170,1.134,0.175,g
2458737.94085,2019-09-11.4378511,bD,1.39,16.396,16.036,0.157,1.399,0.201,g
2458737.94214,2019-09-11.4391394,bD,1.49,16.530,16.400,0.195,0.999,0.178,g
2458740.84729,2019-09-14.3443194,bD,1.49,16.422,15.986,0.147,1.464,0.196,g
2458740.84858,2019-09-14.3456065,bD,1.55,16.295,15.849,0.145,1.662,0.220,g
